concept_id,difficulty,content,image_url,answer,explanation,created_at,choice_1,choice_2,choice_3,choice_4,problem_type,id
9,-3,체리의 수는 몇 개인가요?,,4,,,3,4,5,6,MCQ,10001
177,-3,빈칸에 들어갈 수를 고르세요.,,3,,,74,75,76,77,MCQ,10002
180,-3,빈칸에 들어갈 수를 고르세요.,,2,,,81,82,83,84,MCQ,10003
1298,0,짧은 바늘이 5와 6 사이를 가리키고 긴 바늘이 6을 가리키는 시각을 찾아 기호를 고르세요.,,3,,,ㄱ,ㄴ,ㄷ,ㄹ,MCQ,10004
645,0,두 빈칸에 들어갈 수를 더한 값은 무엇인지 고르세요.,,1,,,12,14,22,24,MCQ,10005
3,0,아래의 동그라미를 10개씩 묶으면 몇 개의 묶음과 낱개가 나오는지 순서대로 쓴 것을 고르세요.,,1,,,"4, 7","4, 8","3, 7","3, 8",MCQ,10006
37,0,<보기>의 수 카드에 적힌 수를 비교해보고 가장 큰 수에서 가장 작은 수를 빼는 뺄셈식을 고르세요.,,4,,,9-5=2,9-7=2,7-5=2,9-2=7,MCQ,10007
828,3,<보기>의 그림에서 가장 많은 모양에 해당하는 설명의 기호를 모두 고른 것을 고르세요.,,1,,,"ㄴ,ㄹ","ㄱ,ㄹ","ㄱ,ㄴ","ㄷ,ㄹ",MCQ,10008
26,3,다음 학생들 중 줄넘기를 제일 많이 넘은 학생은 누구인가요?,,2,,,래원,수한,유은,세빈,MCQ,10009
205,3,<보기>의 수 카드를 안에 넣어 식을 완성하려면 가능한 수 카드는 모두 몇 장인가요?,,2,,,2장,3장,4장 ,5장,MCQ,10010
16,-3,□ 안에 들어갈 알맞은 수를 써넣으세요.,,954,,,,,,,SUBJ,10021
198,-3,수 모형을 보고 뺄셈을 해보세요.,,2,,,23,26,36,45,MCQ,10022
193,-3,수혁이는 종이비행기 17개를 가지고 있었습니다. 색종이로 종이비행기를 5개 더 접었다면 수혁이가 가지고 있는 종이비행기는 모두 몇 개입니까? ,,3,,,20개,21개,22개,23개,MCQ,10023
218,0,1부터 9까지의 숫자 중에서 □ 안에 들어갈 수 있는 숫자를 찾아 보세요.,,4,,,6,7,8,9,MCQ,10024
832,0,원에 대하여 잘못 설명한 것은 어느 것인가요?,,4,,,동그란 모양입니다.,곧은 선이 없습니다.,뾰족한 부분이 없습니다.,크기와 모양이 모두 같습니다.,MCQ,10025
20,0,숫자 6이 600을 나타내는 수를 고르세요.,,1,,,9604,3462,5136,6347,MCQ,10026
1312,0,"멀리뛰기를 지호는 2m 28cm 뛰고, 현주는 1m 65cm 뛰었습니다. 지호와 현주가 뛴 거리는 모두 몇 m 몇 cm입니까?",,3,,,3m 67cm,3m 85cm,3m 93cm,4m 85cm,MCQ,10027
207,3,빈칸에 알맞은 수를 써넣으세요.,,49,,,,,,,SUBJ,10028
225,3,다음을 모두 만족하는 수를 구하세요.,,2,,,63,72,81,90,MCQ,10029
1303,3,성규는 오전에 도서관에 들어가면서 시계를 보니 오른쪽과 같았습니다. 책을 읽고 도서관에서 나왔더니 들어갈 때보다 시계의 긴바늘이 두 바퀴 반 더 돌았습니다. 성규가 도서관에서 나올 때의 시각은 몇 시 몇 분입니까?,,4,,,12시 20분,1시 20분,1시 40분,1시 50분,MCQ,10030
229,-3,길이가 630cm인 끈 중에서 216cm를 사용하였습니다. 남은 끈의 길이는 몇 cm인지 구하세요.,,3,,,412,413,414,416,MCQ,10011
234,-3,계산 결과가 100보다 큰 것은 무엇인지 골라보세요.,,4,,,12 x 5,23 x 4,39 x 2,29 x 4,MCQ,10012
260,0,다음 식에서 기호에 들어갈 수를 모두 더하면 얼마인가요?,,2,,,8,9,10,11,MCQ,10013
1330,0,계산 결과가 다른 하나를 찾아 기호를 써보세요.,,ㄴ,,,,,,,SUBJ,10014
252,3,어떤 수를 6을 곱해야 할 것을 잘못하여 6으로 나누었더니 11이 되었습니다. 바르게 계산하면 얼마인가요?,,4,,,363,366,369,396,MCQ,10015
247,3,준우는 0.2kg을 50원에 파는 설탕을 0.8kg 샀습니다. 가람이는 0.4kg을 70원에 파는 소금을 0.8kg 샀습니다. 준우와 가람이가 쓴 돈은 모두 얼마(원)인가요? ,,3,,,320,330,340,345,MCQ,10016
69,-3,주영이가 그은 선분의 길이는 69cm보다 5mm 더 깁니다. 주영이가 그은 선분의 길이는 몇 cm인지 소수로 나타내어 보세요.,,69.5,,,,,,,SUBJ,10017
60,0,,,1,,,1개,2개,3개,4개,MCQ,10018
844,0,그림은 크기가 같은 정사각형을 겹치지 않게 이어 붙여만든 것입니다. 그림에서 크고 작은 정사각형은 모두 몇개입니까?,,3,,,16개,17개,18개,19개,MCQ,10019
863,3,그림과 같은 규칙으로 원의 반지름은 같게 하고 원의 중심을 옮겨 가며 직사각형 안에 원을 그리려고 합니다. 원을 모두 몇 개까지 그릴 수 있는지 구해 보시오.,,2,,,6개,7개,8개,9개,MCQ,10020
